PatronId,DrinkName,ArrivalTime,FirstServiceTime,CompletionTime,ExecutionTime,TurnaroundTime,WaitingTime,ResponseTime
0,Margarita,1746255276752,1746255276763,1746255276853,75,101,26,11
1,Red Wine,1746255276759,1746255276856,1746255276881,25,122,97,97
2,Draft Beer,1746255276809,1746255276883,1746255276933,50,124,74,74
3,White Wine,1746255276859,1746255276935,1746255276960,25,101,76,76
4,Margarita,1746255276910,1746255276962,1746255277037,75,127,52,52
0,Cosmopolitan,1746255276935,1746255277038,1746255277104,65,169,104,103
5,Margarita,1746255276960,1746255277106,1746255277181,75,221,146,146
6,Bloody Mary,1746255277009,1746255277183,1746255277253,70,244,174,174
1,Margarita,1746255277032,1746255277255,1746255277330,75,298,223,223
2,Beer,1746255277034,1746255277331,1746255277357,25,323,298,297
7,Tequila shot,1746255277059,1746255277358,1746255277378,20,319,299,299
8,White Wine,1746255277110,1746255277380,1746255277405,25,295,270,270
3,Pina Colada,1746255277111,1746255277407,1746255277507,100,396,296,296
4,Vodka shot,1746255277118,1746255277509,1746255277530,20,412,392,391
0,Cider,1746255277155,1746255277531,1746255277557,25,402,377,376
9,Pina Colada,1746255277159,1746255277558,1746255277658,100,499,399,399
10,B52,1746255277209,1746255277660,1746255277860,200,651,451,451
11,Tequila shot,1746255277259,1746255277861,1746255277882,20,623,603,602
5,Draft Beer,1746255277262,1746255277884,1746255277934,50,672,622,622
12,Tequila shot,1746255277309,1746255277935,1746255277956,20,647,627,626
13,Tequila shot,1746255277359,1746255277957,1746255277978,20,619,599,598
7,Margarita,1746255277382,1746255277979,1746255278054,75,672,597,597
6,Beer,1746255277404,1746255278056,1746255278081,25,677,652,652
14,Draft Beer,1746255277409,1746255278083,1746255278133,50,724,674,674
1,White Wine,1746255277411,1746255278134,1746255278160,25,749,724,723
2,Martini,1746255277458,1746255278161,1746255278222,60,764,704,703
15,Vodka shot,1746255277459,1746255278223,1746255278243,20,784,764,764
16,Cider,1746255277510,1746255278245,1746255278270,25,760,735,735
4,Cider,1746255277533,1746255278272,1746255278297,25,764,739,739
