PatronId,DrinkName,ArrivalTime,FirstServiceTime,CompletionTime,ExecutionTime,TurnaroundTime,WaitingTime,ResponseTime
0,Margarita,1746255295896,1746255295903,1746255296166,75,270,195,7
1,Red Wine,1746255295914,1746255295933,1746255295997,25,83,58,19
2,Draft Beer,1746255295964,1746255295980,1746255296135,50,171,121,16
3,White Wine,1746255296014,1746255296035,1746255296124,25,110,85,21
4,Margarita,1746255296064,1746255296094,1746255296670,75,606,531,30
5,Cosmopolitan,1746255296114,1746255296149,1746255296737,65,623,558,35
1,Margarita,1746255296149,1746255296179,1746255297067,75,918,843,30
6,Bloody Mary,1746255296164,1746255296203,1746255296919,70,755,685,39
7,Margarita,1746255296214,1746255296262,1746255297575,75,1361,1286,48
2,Beer,1746255296236,1746255296286,1746255296527,25,291,266,50
0,Tequila shot,1746255296246,1746255296309,1746255296437,20,191,171,63
8,White Wine,1746255296264,1746255296344,1746255296616,25,352,327,80
3,Pina Colada,1746255296274,1746255296368,1746255298615,100,2341,2241,94
9,Vodka shot,1746255296314,1746255296415,1746255296562,20,248,228,101
10,Cider,1746255296363,1746255296474,1746255296791,25,428,403,111
11,Pina Colada,1746255296414,1746255296540,1746255299020,100,2606,2506,126
0,B52,1746255296441,1746255296564,1746255302069,200,5628,5428,123
12,Tequila shot,1746255296463,1746255296599,1746255296761,20,298,278,136
13,Draft Beer,1746255296514,1746255296653,1746255297621,50,1107,1057,139
14,Tequila shot,1746255296564,1746255296697,1746255296872,20,308,288,133
9,Tequila shot,1746255296566,1746255296708,1746255296896,20,330,310,142
15,Margarita,1746255296614,1746255296762,1746255298861,75,2247,2172,148
2,Beer,1746255296627,1746255296774,1746255297239,25,612,587,147
16,Draft Beer,1746255296664,1746255296827,1746255297973,50,1309,1259,163
17,White Wine,1746255296714,1746255296874,1746255297401,25,687,662,160
4,Martini,1746255296751,1746255296920,1746255298503,60,1752,1692,169
18,Vodka shot,1746255296764,1746255296932,1746255297185,20,421,401,168
12,Cider,1746255296764,1746255296944,1746255297502,25,738,713,180
8,Cider,1746255296767,1746255296956,1746255297532,25,765,740,189
5,Martini,1746255296788,1746255296991,1746255298568,60,1780,1720,203
19,Martini,1746255296814,1746255297014,1746255298592,60,1778,1718,200
20,Cosmopolitan,1746255296864,1746255297080,1746255299026,65,2162,2097,216
14,Pina Colada,1746255296876,1746255297092,1746255299973,100,3097,2997,216
10,Bloody Mary,1746255296891,1746255297116,1746255299108,70,2217,2147,225
9,Vodka shot,1746255296900,1746255297128,1746255297424,20,524,504,228
21,Draft Beer,1746255296914,1746255297152,1746255298480,50,1566,1516,238
