PatronId,DrinkName,ArrivalTime,FirstServiceTime,CompletionTime,ExecutionTime,TurnaroundTime,WaitingTime,ResponseTime
0,Martini,1746255257549,1746255257559,1746255257633,60,84,24,10
1,Margarita,1746255257565,1746255257635,1746255257710,75,145,70,70
2,Mojito,1746255257616,1746255260900,1746255260975,75,3359,3284,3284
3,Martini,1746255257666,1746255257712,1746255257772,60,106,46,46
4,Bloody Mary,1746255257716,1746255257854,1746255257925,70,209,139,138
0,Mojito,1746255257744,1746255260543,1746255260618,75,2874,2799,2799
5,Red Wine,1746255257766,1746255257774,1746255257799,25,33,8,8
1,White Wine,1746255257791,1746255257800,1746255257826,25,35,10,9
6,Cider,1746255257816,1746255257827,1746255257853,25,37,12,11
7,Margarita,1746255257867,1746255260389,1746255260464,75,2597,2522,2522
3,Gin and Tonic,1746255257884,1746255257926,1746255257966,40,82,42,42
8,Mojito,1746255257917,1746255260723,1746255260798,75,2881,2806,2806
5,Gin and Tonic,1746255257950,1746255258109,1746255258150,40,200,160,159
6,Cosmopolitan,1746255257953,1746255259043,1746255259109,65,1156,1091,1090
9,Tequila shot,1746255257967,1746255257968,1746255257988,20,21,1,1
1,Beer,1746255257977,1746255257990,1746255258015,25,38,13,13
9,Vodka shot,1746255257992,1746255258017,1746255258037,20,45,25,25
10,White Wine,1746255258017,1746255258039,1746255258064,25,47,22,22
9,Vodka shot,1746255258041,1746255258066,1746255258086,20,45,25,25
11,Vodka shot,1746255258067,1746255258088,1746255258108,20,41,21,21
4,Bloody Mary,1746255258075,1746255259714,1746255259785,70,1710,1640,1639
3,Cosmopolitan,1746255258077,1746255258200,1746255258266,65,189,124,123
9,Mojito,1746255258090,1746255260619,1746255260695,75,2605,2530,2529
11,Pina Colada,1746255258112,1746255263606,1746255263706,100,5594,5494,5494
1,B52,1746255258116,1746255265281,1746255265481,200,7365,7165,7165
12,Cider,1746255258117,1746255258151,1746255258177,25,60,35,34
13,Tequila shot,1746255258168,1746255258178,1746255258199,20,31,11,10
13,Draft Beer,1746255258203,1746255258385,1746255258435,50,232,182,182
10,Gin and Tonic,1746255258215,1746255258316,1746255258356,40,141,101,101
14,Red Wine,1746255258217,1746255258267,1746255258293,25,76,51,50
5,Cosmopolitan,1746255258261,1746255259345,1746255259410,65,1149,1084,1084
15,Mojito,1746255258268,1746255261448,1746255261524,75,3256,3181,3180
12,Vodka shot,1746255258278,1746255258294,1746255258314,20,36,16,16
3,Martini,1746255258316,1746255258437,1746255258497,60,181,121,121
16,Margarita,1746255258317,1746255261982,1746255262057,75,3740,3665,3665
12,Red Wine,1746255258318,1746255258358,1746255258383,25,65,40,40
17,Margarita,1746255258368,1746255261853,1746255261928,75,3560,3485,3485
18,Bloody Mary,1746255258418,1746255259880,1746255259950,70,1532,1462,1462
14,Beer,1746255258444,1746255258499,1746255258524,25,80,55,55
10,Beer,1746255258467,1746255258547,1746255258573,25,106,81,80
19,Martini,1746255258468,1746255258670,1746255258730,60,262,202,202
20,Tequila shot,1746255258518,1746255258525,1746255258546,20,28,8,7
12,Pina Colada,1746255258534,1746255263707,1746255263808,100,5274,5174,5173
13,Gin and Tonic,1746255258536,1746255258601,1746255258641,40,105,65,65
20,Martini,1746255258550,1746255258731,1746255258792,60,242,182,181
21,Red Wine,1746255258568,1746255258574,1746255258600,25,32,7,6
3,Pina Colada,1746255258608,1746255263068,1746255263169,100,4561,4461,4460
22,Bloody Mary,1746255258618,1746255259616,1746255259686,70,1068,998,998
14,Beer,1746255258625,1746255258643,1746255258668,25,43,18,18
23,B52,1746255258669,1746255264118,1746255264318,200,5649,5449,5449
10,Pina Colada,1746255258673,1746255263450,1746255263551,100,4878,4778,4777
24,Margarita,1746255258718,1746255262086,1746255262161,75,3443,3368,3368
21,Gin and Tonic,1746255258750,1746255258896,1746255258937,40,187,147,146
13,Beer,1746255258752,1746255258793,1746255258819,25,67,42,41
14,Beer,1746255258769,1746255258842,1746255258868,25,99,74,73
25,Red Wine,1746255258769,1746255258869,1746255258895,25,126,101,100
26,Tequila shot,1746255258819,1746255258821,1746255258841,20,22,2,2
19,Mojito,1746255258841,1746255261233,1746255261308,75,2467,2392,2392
26,Draft Beer,1746255258845,1746255258965,1746255259015,50,170,120,120
27,Mojito,1746255258869,1746255260005,1746255260081,75,1212,1137,1136
20,Cosmopolitan,1746255258903,1746255259412,1746255259477,65,574,509,509
28,Pina Colada,1746255258919,1746255262293,1746255262393,100,3474,3374,3374
13,Beer,1746255258920,1746255258938,1746255258963,25,43,18,18
14,White Wine,1746255258968,1746255259017,1746255259042,25,74,49,49
29,Margarita,1746255258969,1746255261602,1746255261677,75,2708,2633,2633
25,Draft Beer,1746255259046,1746255259110,1746255259161,50,115,65,64
21,Martini,1746255259047,1746255259189,1746255259249,60,202,142,142
26,Red Wine,1746255259116,1746255259162,1746255259187,25,71,46,46
6,Cosmopolitan,1746255259160,1746255259251,1746255259316,65,156,91,91
25,Cider,1746255259262,1746255259317,1746255259343,25,81,56,55
26,Cosmopolitan,1746255259338,1746255259549,1746255259614,65,276,211,211
21,Bloody Mary,1746255259360,1746255259786,1746255259856,70,496,426,426
6,Mojito,1746255259367,1746255261727,1746255261803,75,2436,2361,2360
25,Vodka shot,1746255259444,1746255259478,1746255259499,20,55,35,34
5,Tequila shot,1746255259461,1746255259500,1746255259521,20,60,40,39
25,White Wine,1746255259503,1746255259522,1746255259548,25,45,20,19
5,B52,1746255259525,1746255264601,1746255264801,200,5276,5076,5076
20,Pina Colada,1746255259528,1746255263349,1746255263449,100,3921,3821,3821
26,Red Wine,1746255259665,1746255259688,1746255259713,25,48,23,23
22,Vodka shot,1746255259837,1746255259858,1746255259878,20,41,21,21
22,Beer,1746255259882,1746255259952,1746255259977,25,95,70,70
4,Cider,1746255259935,1746255259978,1746255260004,25,69,44,43
21,Beer,1746255260007,1746255260104,1746255260129,25,122,97,97
22,Vodka shot,1746255260078,1746255260082,1746255260102,20,24,4,4
18,Cosmopolitan,1746255260101,1746255260131,1746255260196,65,95,30,30
4,Cosmopolitan,1746255260104,1746255260224,1746255260289,65,185,120,120
22,Bloody Mary,1746255260106,1746255260291,1746255260361,70,255,185,185
27,Beer,1746255260191,1746255260197,1746255260222,25,31,6,6
18,Pina Colada,1746255260247,1746255263247,1746255263347,100,3100,3000,3000
