PatronId,DrinkName,ArrivalTime,FirstServiceTime,CompletionTime,ExecutionTime,TurnaroundTime,WaitingTime,ResponseTime
0,Martini,1746387828774,1746387828781,1746387828954,60,180,120,7
1,Cosmopolitan,1746387828774,1746387828856,1746387829210,65,436,371,82
2,Cider,1746387828804,1746387828892,1746387828917,25,113,88,88
3,Bloody Mary,1746387828854,1746387828959,1746387829400,70,546,476,105
4,Bloody Mary,1746387828905,1746387829031,1746387829622,70,717,647,126
5,Bloody Mary,1746387828955,1746387829067,1746387829674,70,719,649,112
6,Beer,1746387829004,1746387829138,1746387829164,25,160,135,134
2,Cosmopolitan,1746387829019,1746387829169,1746387829854,65,835,770,150
7,Gin and Tonic,1746387829054,1746387829216,1746387829518,40,464,424,162
0,Red Wine,1746387829065,1746387829287,1746387829313,25,248,223,222
8,Draft Beer,1746387829104,1746387829354,1746387829735,50,631,581,250
9,Cider,1746387829154,1746387829405,1746387829431,25,277,252,251
10,Draft Beer,1746387829205,1746387829472,1746387829879,50,674,624,267
11,Vodka shot,1746387829254,1746387829524,1746387829544,20,290,270,270
1,Martini,1746387829261,1746387829550,1746387830074,60,813,753,289
6,Vodka shot,1746387829264,1746387829586,1746387829606,20,342,322,322
12,Pina Colada,1746387829304,1746387829628,1746387832032,100,2728,2628,324
13,Draft Beer,1746387829354,1746387829679,1746387830285,50,931,881,325
14,Margarita,1746387829404,1746387829741,1746387831223,75,1819,1744,337
15,Mojito,1746387829454,1746387829777,1746387831341,75,1887,1812,323
0,Margarita,1746387829464,1746387829813,1746387831424,75,1960,1885,349
16,Beer,1746387829504,1746387829885,1746387829910,25,406,381,381
9,Vodka shot,1746387829531,1746387829916,1746387829936,20,405,385,385
11,Gin and Tonic,1746387829548,1746387829941,1746387830736,40,1188,1148,393
3,Draft Beer,1746387829550,1746387829977,1746387830828,50,1278,1228,427
17,Beer,1746387829556,1746387830013,1746387830038,25,482,457,457
18,Beer,1746387829605,1746387830080,1746387830105,25,500,475,475
6,Vodka shot,1746387829609,1746387830111,1746387830131,20,522,502,502
7,Vodka shot,1746387829629,1746387830136,1746387830157,20,528,508,507
19,Red Wine,1746387829655,1746387830162,1746387830187,25,532,507,507
20,Gin and Tonic,1746387829704,1746387830229,1746387831176,40,1472,1432,525
21,White Wine,1746387829754,1746387830291,1746387830316,25,562,537,537
4,Tequila shot,1746387829772,1746387830357,1746387830378,20,606,586,585
22,Pina Colada,1746387829804,1746387830383,1746387833131,100,3327,3227,579
5,Mojito,1746387829825,1746387830455,1746387832303,75,2478,2403,630
8,Red Wine,1746387829836,1746387830491,1746387830516,25,680,655,655
23,Cider,1746387829854,1746387830557,1746387830582,25,728,703,703
2,Cider,1746387829904,1746387830588,1746387830613,25,709,684,684
24,Cosmopolitan,1746387829904,1746387830618,1746387832345,65,2441,2376,714
9,Cosmopolitan,1746387829940,1746387830654,1746387832423,65,2483,2418,714
25,Gin and Tonic,1746387829954,1746387830690,1746387831614,40,1660,1620,736
10,Margarita,1746387829980,1746387830741,1746387832515,75,2535,2460,761
26,White Wine,1746387830004,1746387830777,1746387830802,25,798,773,773
16,Red Wine,1746387830011,1746387830834,1746387830859,25,848,823,823
27,B52,1746387830054,1746387830865,1746387836005,200,5951,5751,811
28,Mojito,1746387830104,1746387830900,1746387832603,75,2499,2424,796
6,Tequila shot,1746387830134,1746387830936,1746387830957,20,823,803,802
17,Gin and Tonic,1746387830139,1746387830962,1746387831871,40,1732,1692,823
29,Gin and Tonic,1746387830154,1746387830998,1746387831918,40,1764,1724,844
7,Mojito,1746387830161,1746387831033,1746387832757,75,2596,2521,872
1,Tequila shot,1746387830185,1746387831069,1746387831089,20,904,884,884
18,Mojito,1746387830205,1746387831095,1746387832875,75,2670,2595,890
19,Vodka shot,1746387830338,1746387831182,1746387831202,20,864,844,844
4,B52,1746387830381,1746387831228,1746387836349,200,5968,5768,847
13,Vodka shot,1746387830386,1746387831264,1746387831284,20,898,878,878
21,Tequila shot,1746387830466,1746387831346,1746387831367,20,901,881,880
8,Cider,1746387830666,1746387831465,1746387831491,25,825,800,799
23,Martini,1746387830683,1746387831496,1746387832412,60,1729,1669,813
2,Margarita,1746387830714,1746387831568,1746387833387,75,2673,2598,854
11,White Wine,1746387830846,1746387831655,1746387831681,25,835,810,809
3,Beer,1746387830929,1746387831722,1746387831747,25,818,793,793
26,Draft Beer,1746387830953,1746387831789,1746387832628,50,1675,1625,836
6,Pina Colada,1746387830960,1746387831825,1746387834555,100,3595,3495,865
16,Cider,1746387831010,1746387831876,1746387831902,25,892,867,866
1,Tequila shot,1746387831093,1746387831960,1746387831981,20,888,868,867
19,Margarita,1746387831205,1746387832037,1746387833878,75,2673,2598,832
20,Mojito,1746387831287,1746387832109,1746387833970,75,2683,2608,822
13,Cosmopolitan,1746387831287,1746387832145,1746387834017,65,2730,2665,858
14,Margarita,1746387831303,1746387832180,1746387834037,75,2734,2659,877
21,Pina Colada,1746387831371,1746387832252,1746387834894,100,3523,3423,881
15,White Wine,1746387831452,1746387832309,1746387832334,25,882,857,857
0,Cider,1746387831504,1746387832351,1746387832376,25,872,847,847
8,B52,1746387831591,1746387832428,1746387837108,200,5517,5317,837
25,White Wine,1746387831725,1746387832556,1746387832582,25,857,832,831
11,B52,1746387831831,1746387832634,1746387837334,200,5503,5303,803
3,Cosmopolitan,1746387831848,1746387832670,1746387834468,65,2620,2555,822
17,Tequila shot,1746387831981,1746387832763,1746387832783,20,802,782,782
1,Martini,1746387831984,1746387832789,1746387833770,60,1786,1726,805
16,Gin and Tonic,1746387832003,1746387832824,1746387833786,40,1783,1743,821
29,Tequila shot,1746387832029,1746387832881,1746387832901,20,872,852,852
12,Cosmopolitan,1746387832153,1746387833014,1746387834847,65,2694,2629,861
24,Beer,1746387832396,1746387833172,1746387833198,25,802,777,776
5,Gin and Tonic,1746387832414,1746387833203,1746387834089,40,1675,1635,789
9,Cosmopolitan,1746387832474,1746387833275,1746387835078,65,2604,2539,801
0,Martini,1746387832477,1746387833311,1746387834262,60,1785,1725,834
15,Vodka shot,1746387832485,1746387833346,1746387833367,20,882,862,861
23,Gin and Tonic,1746387832523,1746387833393,1746387834314,40,1791,1751,870
10,Cosmopolitan,1746387832596,1746387833464,1746387835212,65,2616,2551,868
28,B52,1746387832714,1746387833571,1746387837984,200,5270,5070,857
26,Margarita,1746387832729,1746387833606,1746387835376,75,2647,2572,877
25,White Wine,1746387832732,1746387833642,1746387833667,25,935,910,910
17,Beer,1746387832787,1746387833709,1746387833734,25,947,922,922
7,Martini,1746387832868,1746387833791,1746387834627,60,1759,1699,923
29,B52,1746387832905,1746387833827,1746387838052,200,5147,4947,922
18,B52,1746387832986,1746387833919,1746387838130,200,5144,4944,933
22,White Wine,1746387833252,1746387834094,1746387834119,25,867,842,842
24,Pina Colada,1746387833298,1746387834161,1746387836550,100,3252,3152,863
15,Pina Colada,1746387833370,1746387834268,1746387836637,100,3267,3167,898
2,Gin and Tonic,1746387833468,1746387834355,1746387835201,40,1733,1693,887
25,Cosmopolitan,1746387833818,1746387834561,1746387836200,65,2382,2317,743
17,Bloody Mary,1746387833835,1746387834632,1746387836216,70,2381,2311,797
16,Beer,1746387833896,1746387834704,1746387834729,25,833,808,808
19,Cosmopolitan,1746387833959,1746387834806,1746387836395,65,2436,2371,847
13,Beer,1746387834067,1746387834853,1746387834878,25,811,786,786
20,Bloody Mary,1746387834081,1746387834899,1746387836446,70,2365,2295,818
14,Bloody Mary,1746387834118,1746387834935,1746387836462,70,2344,2274,817
5,White Wine,1746387834199,1746387835042,1746387835067,25,868,843,843
22,B52,1746387834270,1746387835084,1746387838536,200,4266,4066,814
23,Gin and Tonic,1746387834425,1746387835218,1746387836046,40,1621,1581,793
3,Cosmopolitan,1746387834519,1746387835325,1746387836827,65,2308,2243,806
7,Mojito,1746387834737,1746387835489,1746387836954,75,2217,2142,752
12,Mojito,1746387834897,1746387835632,1746387837047,75,2150,2075,735
13,White Wine,1746387834978,1746387835739,1746387835764,25,786,761,761
21,Mojito,1746387835014,1746387835806,1746387837129,75,2115,2040,792
9,Martini,1746387835129,1746387835913,1746387836621,60,1492,1432,784
5,Tequila shot,1746387835218,1746387836011,1746387836031,20,813,793,793
10,Martini,1746387835263,1746387836052,1746387836708,60,1445,1385,789
26,Martini,1746387835457,1746387836222,1746387836898,60,1441,1381,765
27,Bloody Mary,1746387836016,1746387836643,1746387837922,70,1906,1836,627
23,Mojito,1746387836157,1746387836786,1746387838005,75,1848,1773,629
25,Margarita,1746387836251,1746387836832,1746387838026,75,1775,1700,581
4,Bloody Mary,1746387836360,1746387836960,1746387838068,70,1708,1638,600
19,Mojito,1746387836446,1746387837052,1746387838150,75,1704,1629,606
20,B52,1746387836597,1746387837170,1746387839182,200,2585,2385,573
14,B52,1746387836613,1746387837206,1746387839208,200,2595,2395,593
24,Draft Beer,1746387836670,1746387837242,1746387837907,50,1237,1187,572
15,White Wine,1746387836758,1746387837339,1746387837364,25,606,581,581
10,Tequila shot,1746387836819,1746387837441,1746387837462,20,643,623,622
26,Bloody Mary,1746387837008,1746387837575,1746387838453,70,1445,1375,567
8,White Wine,1746387837119,1746387837682,1746387837707,25,588,563,563
12,Martini,1746387837157,1746387837713,1746387838186,60,1029,969,556
21,Beer,1746387837239,1746387837855,1746387837881,25,642,617,616
11,Draft Beer,1746387837344,1746387837928,1746387838319,50,975,925,584
28,Vodka shot,1746387837995,1746387838325,1746387838345,20,350,330,330
24,Mojito,1746387838007,1746387838350,1746387838962,75,955,880,343
29,Vodka shot,1746387838062,1746387838386,1746387838406,20,344,324,324
27,Cider,1746387838073,1746387838412,1746387838437,25,364,339,339
18,Tequila shot,1746387838140,1746387838458,1746387838479,20,339,319,318
4,Red Wine,1746387838218,1746387838484,1746387838510,25,292,267,266
12,Cider,1746387838297,1746387838613,1746387838639,25,342,317,316
28,Cosmopolitan,1746387838349,1746387838644,1746387839115,65,766,701,295
29,Vodka shot,1746387838410,1746387838716,1746387838736,20,326,306,306
18,Tequila shot,1746387838482,1746387838742,1746387838762,20,280,260,260
27,Margarita,1746387838537,1746387838767,1746387839136,75,599,524,230
22,Mojito,1746387838546,1746387838803,1746387839156,75,610,535,257
28,Cosmopolitan,1746387839166,1746387839213,1746387839458,65,292,227,47
20,Cider,1746387839193,1746387839249,1746387839274,25,81,56,56
27,Margarita,1746387839216,1746387839279,1746387839515,75,299,224,63
14,Cider,1746387839219,1746387839315,1746387839340,25,121,96,96
22,Pina Colada,1746387839267,1746387839381,1746387839567,100,300,200,114

Patron Level Statistics:
PatronId,TotalWaitingTime,ResponseTime,Turnaround,DrinksCompleted
0,2259,180,5488,5
1,2927,436,4996,5
2,2663,113,6397,5
3,2953,546,7973,5
4,2424,717,9605,5
5,3167,719,7076,5
6,2625,160,5551,5
7,3216,464,7900,5
8,3104,631,8603,5
9,2935,277,7467,5
10,3307,674,8257,5
11,2859,290,9065,5
12,2792,2728,9335,5
13,3608,931,6410,5
14,2720,1819,9936,5
15,3520,1887,7910,5
16,3699,406,5225,5
17,3781,482,6660,5
18,2876,500,9157,5
19,3636,532,8495,5
20,2794,1472,9570,5
21,3706,562,8127,5
22,2606,3327,9763,5
23,3808,728,8151,5
24,3268,2441,9058,5
25,3801,1660,8072,5
26,3818,798,8449,5
27,2070,5951,9461,5
28,2325,2499,9354,5
29,3248,1764,8582,5

Stats Summary:
Total Time: 11039 ms
Total Waiting Time: 92515 ms
CPU Utilization: 99.40211975722438%
Throughput: 13.588187335809403 orders/second
Context Switch Time: 5 ms
Time Quantum: 30 ms
